#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-09-13, 14:35:32
# Real time (s): 516.628
# Live time (s): 300.000
#
# Total counts:  33020397
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  881395
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
1	-23.078	643	2.14333
2	-21.036	1334	4.44667
3	-18.994	2105787	7019.29
4	-16.952	19652536	65508.5
5	-14.910	4531744	15105.8
6	-12.867	97495	324.983
7	-10.825	18599	61.9967
8	-8.783	15936	53.12
9	-6.741	10470	34.9
10	-4.699	7653	25.51
11	-2.657	7148	23.8267
12	-0.614	7107	23.69
13	1.428	7250	24.1667
14	3.470	7388	24.6267
15	5.512	7731	25.77
16	7.554	8397	27.99
17	9.597	9759	32.53
18	11.639	14119	47.0633
19	13.681	26523	88.41
20	15.723	56194	187.313
21	17.765	103758	345.86
22	19.807	152716	509.053
23	21.850	189401	631.337
24	23.892	207757	692.523
25	25.934	202407	674.69
26	27.976	165831	552.77
27	30.018	113484	378.28
28	32.060	70757	235.857
29	34.103	42922	143.073
30	36.145	26299	87.6633
31	38.187	16798	55.9933
32	40.229	13356	44.52
33	42.271	13601	45.3367
34	44.313	15570	51.9
35	46.356	18550	61.8333
36	48.398	21544	71.8133
37	50.440	24302	81.0067
38	52.482	25872	86.24
39	54.524	25699	85.6633
40	56.566	24280	80.9333
41	58.609	21720	72.4
42	60.651	20184	67.28
43	62.693	19190	63.9667
44	64.735	19773	65.91
45	66.777	21088	70.2933
46	68.819	22872	76.24
47	70.862	24268	80.8933
48	72.904	24617	82.0567
49	74.946	23663	78.8767
50	76.988	24080	80.2667
51	79.030	24960	83.2
52	81.072	28955	96.5167
53	83.115	37142	123.807
54	85.157	50832	169.44
55	87.199	69737	232.457
56	89.241	93321	311.07
57	91.283	115786	385.953
58	93.325	130881	436.27
59	95.368	135637	452.123
60	97.410	126791	422.637
61	99.452	106814	356.047
