#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:45:52
# Real time (s): 535.027
# Live time (s): 300.000
#
# Total counts:  37448269
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  292
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
1	-23.078	814	2.71333
2	-21.036	1489	4.96333
3	-18.994	1360128	4533.76
4	-16.952	28338559	94461.9
5	-14.910	7589684	25298.9
6	-12.867	118361	394.537
7	-10.825	453	1.51
8	-8.783	220	0.733333
9	-6.741	222	0.74
10	-4.699	224	0.746667
11	-2.657	245	0.816667
12	-0.614	313	1.04333
13	1.428	442	1.47333
14	3.470	909	3.03
15	5.512	1778	5.92667
16	7.554	2645	8.81667
17	9.597	3249	10.83
18	11.639	3680	12.2667
19	13.681	3771	12.57
20	15.723	3044	10.1467
21	17.765	2032	6.77333
22	19.807	1160	3.86667
23	21.850	587	1.95667
24	23.892	222	0.74
25	25.934	99	0.33
26	27.976	104	0.346667
27	30.018	70	0.233333
28	32.060	53	0.176667
29	34.103	46	0.153333
30	36.145	52	0.173333
31	38.187	42	0.14
32	40.229	44	0.146667
33	42.271	49	0.163333
34	44.313	59	0.196667
35	46.356	54	0.18
36	48.398	66	0.22
37	50.440	78	0.26
38	52.482	65	0.216667
39	54.524	84	0.28
40	56.566	106	0.353333
41	58.609	96	0.32
42	60.651	109	0.363333
43	62.693	93	0.31
44	64.735	79	0.263333
45	66.777	87	0.29
46	68.819	76	0.253333
47	70.862	64	0.213333
48	72.904	66	0.22
49	74.946	76	0.253333
50	76.988	93	0.31
51	79.030	98	0.326667
52	81.072	103	0.343333
53	83.115	116	0.386667
54	85.157	136	0.453333
55	87.199	119	0.396667
56	89.241	133	0.443333
57	91.283	197	0.656667
58	93.325	277	0.923333
59	95.368	327	1.09
60	97.410	502	1.67333
61	99.452	662	2.20667
62	101.494	757	2.52333
63	103.536	858	2.86
64	105.578	859	2.86333
65	107.621	737	2.45667
66	109.663	604	2.01333
67	111.705	450	1.5
68	113.747	307	1.02333
69	115.789	176	0.586667
70	117.831	92	0.306667
71	119.874	62	0.206667
72	121.916	41	0.136667
73	123.958	41	0.136667
74	126.000	43	0.143333
75	128.042	29	0.0966667
76	130.084	27	0.09
77	132.127	18	0.06
78	134.169	24	0.08
79	136.211	29	0.0966667
80	138.253	26	0.0866667
81	140.295	26	0.0866667
82	142.337	13	0.0433333
83	144.380	17	0.0566667
84	146.422	12	0.04
85	148.464	14	0.0466667
86	150.506	11	0.0366667
87	152.548	17	0.0566667
88	154.590	8	0.0266667
89	156.633	13	0.0433333
90	158.675	11	0.0366667
91	160.717	10	0.0333333
92	162.759	14	0.0466667
93	164.801	14	0.0466667
94	166.843	17	0.0566667
95	168.886	11	0.0366667
96	170.928	14	0.0466667
97	172.970	16	0.0533333
98	175.012	16	0.0533333
99	177.054	15	0.05
100	179.096	15	0.05
101	181.139	15	0.05
102	183.181	12	0.04
103	185.223	11	0.0366667
104	187.265	16	0.0533333
105	189.307	18	0.06
106	191.349	21	0.07
107	193.392	14	0.0466667
108	195.434	15	0.05
109	197.476	17	0.0566667
110	199.518	10	0.0333333
111	201.560	18	0.06
112	203.602	7	0.0233333
113	205.645	18	0.06
114	207.687	20	0.0666667
115	209.729	12	0.04
116	211.771	14	0.0466667
117	213.813	14	0.0466667
118	215.855	7	0.0233333
119	217.898	12	0.04
120	219.940	10	0.0333333
121	221.982	12	0.04
122	224.024	7	0.0233333
123	226.066	10	0.0333333
124	228.108	12	0.04
125	230.151	17	0.0566667
126	232.193	14	0.0466667
127	234.235	18	0.06
128	236.277	17	0.0566667
129	238.319	11	0.0366667
130	240.361	10	0.0333333
131	242.404	9	0.03
132	244.446	10	0.0333333
133	246.488	13	0.0433333
134	248.530	13	0.0433333
135	250.572	13	0.0433333
136	252.614	12	0.04
137	254.657	14	0.0466667
138	256.699	8	0.0266667
139	258.741	6	0.02
140	260.783	14	0.0466667
141	262.825	9	0.03
