#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:56:12
# Real time (s): 551.195
# Live time (s): 300.000
#
# Total counts:  38592908
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  81372
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
1	-23.078	987	3.29
2	-21.036	3471	11.57
3	-18.994	1761821	5872.74
4	-16.952	25033126	83443.8
5	-14.910	9319647	31065.5
6	-12.867	283370	944.567
7	-10.825	3714	12.38
8	-8.783	2297	7.65667
9	-6.741	2321	7.73667
10	-4.699	2395	7.98333
11	-2.657	2270	7.56667
12	-0.614	2309	7.69667
13	1.428	2354	7.84667
14	3.470	2554	8.51333
15	5.512	2466	8.22
16	7.554	2460	8.2
17	9.597	2401	8.00333
18	11.639	2408	8.02667
19	13.681	2346	7.82
20	15.723	2359	7.86333
21	17.765	2379	7.93
22	19.807	2394	7.98
23	21.850	2378	7.92667
24	23.892	2405	8.01667
25	25.934	2420	8.06667
26	27.976	2423	8.07667
27	30.018	2412	8.04
28	32.060	2380	7.93333
29	34.103	2496	8.32
30	36.145	2341	7.80333
31	38.187	2413	8.04333
32	40.229	2418	8.06
33	42.271	2478	8.26
34	44.313	2477	8.25667
35	46.356	2462	8.20667
36	48.398	2462	8.20667
37	50.440	2547	8.49
38	52.482	2394	7.98
39	54.524	2445	8.15
40	56.566	2365	7.88333
41	58.609	2398	7.99333
42	60.651	2362	7.87333
43	62.693	2452	8.17333
44	64.735	2359	7.86333
45	66.777	2360	7.86667
46	68.819	2462	8.20667
47	70.862	2435	8.11667
48	72.904	2450	8.16667
49	74.946	2579	8.59667
50	76.988	2778	9.26
51	79.030	2908	9.69333
52	81.072	3061	10.2033
53	83.115	3142	10.4733
54	85.157	3254	10.8467
55	87.199	3243	10.81
56	89.241	3039	10.13
57	91.283	3095	10.3167
58	93.325	2958	9.86
59	95.368	2804	9.34667
60	97.410	2702	9.00667
61	99.452	2671	8.90333
62	101.494	2607	8.69
63	103.536	2680	8.93333
64	105.578	2565	8.55
65	107.621	2525	8.41667
66	109.663	2463	8.21
67	111.705	2323	7.74333
68	113.747	2278	7.59333
69	115.789	2254	7.51333
70	117.831	2306	7.68667
71	119.874	2362	7.87333
72	121.916	2273	7.57667
73	123.958	2215	7.38333
74	126.000	2337	7.79
75	128.042	2261	7.53667
76	130.084	2271	7.57
77	132.127	2311	7.70333
78	134.169	2231	7.43667
79	136.211	2334	7.78
80	138.253	2107	7.02333
81	140.295	2389	7.96333
82	142.337	2341	7.80333
83	144.380	2293	7.64333
84	146.422	2302	7.67333
85	148.464	2327	7.75667
86	150.506	2289	7.63
87	152.548	2369	7.89667
88	154.590	2358	7.86
89	156.633	2285	7.61667
90	158.675	2456	8.18667
91	160.717	2385	7.95
92	162.759	2303	7.67667
93	164.801	2343	7.81
94	166.843	2307	7.69
95	168.886	2326	7.75333
96	170.928	2326	7.75333
97	172.970	2344	7.81333
98	175.012	2328	7.76
99	177.054	2403	8.01
100	179.096	2404	8.01333
101	181.139	2421	8.07
102	183.181	2320	7.73333
103	185.223	2443	8.14333
104	187.265	2384	7.94667
105	189.307	2517	8.39
106	191.349	2345	7.81667
107	193.392	2343	7.81
108	195.434	2413	8.04333
109	197.476	2283	7.61
110	199.518	2411	8.03667
111	201.560	2381	7.93667
112	203.602	2494	8.31333
113	205.645	2367	7.89
114	207.687	2387	7.95667
115	209.729	2430	8.1
116	211.771	2367	7.89
117	213.813	2403	8.01
118	215.855	2342	7.80667
119	217.898	2459	8.19667
120	219.940	2372	7.90667
121	221.982	2432	8.10667
122	224.024	2543	8.47667
123	226.066	2524	8.41333
124	228.108	2442	8.14
125	230.151	2503	8.34333
126	232.193	2543	8.47667
127	234.235	2508	8.36
128	236.277	2484	8.28
129	238.319	2569	8.56333
130	240.361	2392	7.97333
131	242.404	2510	8.36667
132	244.446	2558	8.52667
133	246.488	2664	8.88
134	248.530	2720	9.06667
135	250.572	2724	9.08
136	252.614	2835	9.45
137	254.657	2809	9.36333
138	256.699	2994	9.98
139	258.741	3085	10.2833
140	260.783	3321	11.07
141	262.825	3272	10.9067
142	264.867	3427	11.4233
143	266.910	3513	11.71
144	268.952	3452	11.5067
145	270.994	3556	11.8533
146	273.036	3616	12.0533
147	275.078	3742	12.4733
148	277.120	3721	12.4033
149	279.163	3741	12.47
150	281.205	3795	12.65
151	283.247	3726	12.42
