#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:34:20
# Real time (s): 530.628
# Live time (s): 300.000
#
# Total counts:  36992665
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  1173
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
1	-23.078	826	2.75333
2	-21.036	1397	4.65667
3	-18.994	1508171	5027.24
4	-16.952	28174819	93916.1
5	-14.910	7177900	23926.3
6	-12.867	106592	355.307
7	-10.825	228	0.76
8	-8.783	76	0.253333
9	-6.741	75	0.25
10	-4.699	95	0.316667
11	-2.657	75	0.25
12	-0.614	94	0.313333
13	1.428	100	0.333333
14	3.470	117	0.39
15	5.512	117	0.39
16	7.554	91	0.303333
17	9.597	36	0.12
18	11.639	42	0.14
19	13.681	36	0.12
20	15.723	43	0.143333
21	17.765	35	0.116667
22	19.807	44	0.146667
23	21.850	46	0.153333
24	23.892	43	0.143333
25	25.934	51	0.17
26	27.976	48	0.16
27	30.018	54	0.18
28	32.060	51	0.17
29	34.103	56	0.186667
30	36.145	46	0.153333
31	38.187	57	0.19
32	40.229	62	0.206667
33	42.271	58	0.193333
34	44.313	51	0.17
35	46.356	57	0.19
36	48.398	56	0.186667
37	50.440	58	0.193333
38	52.482	52	0.173333
39	54.524	50	0.166667
40	56.566	49	0.163333
41	58.609	54	0.18
42	60.651	56	0.186667
43	62.693	72	0.24
44	64.735	54	0.18
45	66.777	64	0.213333
46	68.819	59	0.196667
47	70.862	60	0.2
48	72.904	37	0.123333
49	74.946	44	0.146667
50	76.988	46	0.153333
51	79.030	44	0.146667
52	81.072	62	0.206667
53	83.115	72	0.24
54	85.157	62	0.206667
55	87.199	62	0.206667
56	89.241	57	0.19
57	91.283	59	0.196667
58	93.325	53	0.176667
59	95.368	44	0.146667
60	97.410	55	0.183333
61	99.452	54	0.18
62	101.494	55	0.183333
63	103.536	69	0.23
64	105.578	52	0.173333
65	107.621	48	0.16
66	109.663	53	0.176667
67	111.705	40	0.133333
68	113.747	41	0.136667
69	115.789	41	0.136667
70	117.831	34	0.113333
71	119.874	37	0.123333
72	121.916	37	0.123333
73	123.958	52	0.173333
74	126.000	31	0.103333
75	128.042	33	0.11
76	130.084	38	0.126667
77	132.127	34	0.113333
78	134.169	37	0.123333
79	136.211	43	0.143333
80	138.253	39	0.13
81	140.295	39	0.13
82	142.337	47	0.156667
83	144.380	39	0.13
84	146.422	37	0.123333
85	148.464	38	0.126667
86	150.506	39	0.13
87	152.548	32	0.106667
88	154.590	34	0.113333
89	156.633	47	0.156667
90	158.675	38	0.126667
91	160.717	48	0.16
92	162.759	43	0.143333
93	164.801	52	0.173333
94	166.843	42	0.14
95	168.886	45	0.15
96	170.928	46	0.153333
97	172.970	32	0.106667
98	175.012	44	0.146667
99	177.054	32	0.106667
100	179.096	30	0.1
101	181.139	42	0.14
102	183.181	33	0.11
103	185.223	46	0.153333
104	187.265	46	0.153333
105	189.307	44	0.146667
106	191.349	44	0.146667
107	193.392	49	0.163333
108	195.434	46	0.153333
109	197.476	38	0.126667
110	199.518	38	0.126667
111	201.560	39	0.13
112	203.602	40	0.133333
113	205.645	38	0.126667
114	207.687	32	0.106667
115	209.729	27	0.09
116	211.771	42	0.14
117	213.813	40	0.133333
118	215.855	47	0.156667
119	217.898	54	0.18
