#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:22:19
# Real time (s): 535.334
# Live time (s): 300.000
#
# Total counts:  37052941
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  34545
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
1	-23.078	841	2.80333
2	-21.036	1643	5.47667
3	-18.994	1670757	5569.19
4	-16.952	26257609	87525.4
5	-14.910	7409088	24697
6	-12.867	142100	473.667
7	-10.825	2942	9.80667
8	-8.783	2662	8.87333
9	-6.741	2593	8.64333
10	-4.699	2597	8.65667
11	-2.657	2642	8.80667
12	-0.614	2643	8.81
13	1.428	2698	8.99333
14	3.470	2725	9.08333
15	5.512	2694	8.98
16	7.554	2651	8.83667
17	9.597	2713	9.04333
18	11.639	2820	9.4
19	13.681	2732	9.10667
20	15.723	2659	8.86333
21	17.765	2785	9.28333
22	19.807	2804	9.34667
23	21.850	2760	9.2
24	23.892	2923	9.74333
25	25.934	2767	9.22333
26	27.976	2871	9.57
27	30.018	2814	9.38
28	32.060	2878	9.59333
29	34.103	2692	8.97333
30	36.145	2741	9.13667
31	38.187	2819	9.39667
32	40.229	2721	9.07
33	42.271	2709	9.03
34	44.313	2766	9.22
35	46.356	2758	9.19333
36	48.398	2774	9.24667
37	50.440	2719	9.06333
38	52.482	2768	9.22667
39	54.524	2790	9.3
40	56.566	2684	8.94667
41	58.609	2737	9.12333
42	60.651	2670	8.9
43	62.693	2792	9.30667
44	64.735	2624	8.74667
45	66.777	2647	8.82333
46	68.819	2670	8.9
47	70.862	2750	9.16667
48	72.904	2759	9.19667
49	74.946	2841	9.47
50	76.988	2871	9.57
51	79.030	3038	10.1267
52	81.072	3060	10.2
53	83.115	3123	10.41
54	85.157	3153	10.51
55	87.199	3278	10.9267
56	89.241	3254	10.8467
57	91.283	3118	10.3933
58	93.325	3133	10.4433
59	95.368	3027	10.09
60	97.410	2988	9.96
61	99.452	2944	9.81333
62	101.494	2882	9.60667
63	103.536	2831	9.43667
64	105.578	2762	9.20667
65	107.621	2653	8.84333
66	109.663	2656	8.85333
67	111.705	2585	8.61667
68	113.747	2582	8.60667
69	115.789	2574	8.58
70	117.831	2628	8.76
71	119.874	2620	8.73333
72	121.916	2600	8.66667
73	123.958	2587	8.62333
74	126.000	2516	8.38667
75	128.042	2567	8.55667
76	130.084	2603	8.67667
77	132.127	2612	8.70667
78	134.169	2508	8.36
79	136.211	2533	8.44333
80	138.253	2641	8.80333
81	140.295	2492	8.30667
82	142.337	2653	8.84333
83	144.380	2589	8.63
84	146.422	2634	8.78
85	148.464	2572	8.57333
86	150.506	2610	8.7
87	152.548	2557	8.52333
88	154.590	2471	8.23667
89	156.633	2589	8.63
90	158.675	2598	8.66
