#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:10:44
# Real time (s): 526.195
# Live time (s): 300.000
#
# Total counts:  36300972
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  76200
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
1	-23.078	810	2.7
2	-21.036	1457	4.85667
3	-18.994	1870519	6235.06
4	-16.952	26545661	88485.5
5	-14.910	6496300	21654.3
6	-12.867	102663	342.21
7	-10.825	3222	10.74
8	-8.783	2980	9.93333
9	-6.741	2771	9.23667
10	-4.699	2617	8.72333
11	-2.657	2376	7.92
12	-0.614	2375	7.91667
13	1.428	2409	8.03
14	3.470	2551	8.50333
15	5.512	2599	8.66333
16	7.554	2650	8.83333
17	9.597	2529	8.43
18	11.639	2658	8.86
19	13.681	2864	9.54667
20	15.723	3780	12.6
21	17.765	5516	18.3867
22	19.807	8040	26.8
23	21.850	10792	35.9733
24	23.892	12856	42.8533
25	25.934	13568	45.2267
26	27.976	13148	43.8267
27	30.018	11233	37.4433
28	32.060	8037	26.79
29	34.103	5821	19.4033
30	36.145	4401	14.67
31	38.187	3478	11.5933
32	40.229	2935	9.78333
33	42.271	2550	8.5
34	44.313	2505	8.35
35	46.356	2469	8.23
36	48.398	2358	7.86
37	50.440	2483	8.27667
38	52.482	2390	7.96667
39	54.524	2397	7.99
40	56.566	2343	7.81
41	58.609	2443	8.14333
42	60.651	2454	8.18
43	62.693	2430	8.1
44	64.735	2324	7.74667
45	66.777	2412	8.04
46	68.819	2385	7.95
47	70.862	2442	8.14
48	72.904	2390	7.96667
49	74.946	2534	8.44667
50	76.988	2583	8.61
51	79.030	2652	8.84
52	81.072	2799	9.33
53	83.115	2844	9.48
54	85.157	2921	9.73667
55	87.199	2896	9.65333
56	89.241	2858	9.52667
57	91.283	2806	9.35333
58	93.325	2607	8.69
59	95.368	2592	8.64
60	97.410	2567	8.55667
61	99.452	2550	8.5
62	101.494	2455	8.18333
63	103.536	2534	8.44667
64	105.578	2467	8.22333
65	107.621	2304	7.68
66	109.663	2371	7.90333
67	111.705	2380	7.93333
68	113.747	2324	7.74667
69	115.789	2203	7.34333
70	117.831	2227	7.42333
71	119.874	2199	7.33
72	121.916	2193	7.31
73	123.958	2228	7.42667
74	126.000	2243	7.47667
75	128.042	2293	7.64333
76	130.084	2299	7.66333
77	132.127	2305	7.68333
78	134.169	2269	7.56333
79	136.211	2211	7.37
80	138.253	2268	7.56
81	140.295	2218	7.39333
82	142.337	2164	7.21333
83	144.380	2242	7.47333
84	146.422	2246	7.48667
85	148.464	2229	7.43
86	150.506	2195	7.31667
87	152.548	2242	7.47333
88	154.590	2299	7.66333
89	156.633	2215	7.38333
90	158.675	2258	7.52667
91	160.717	2270	7.56667
92	162.759	2155	7.18333
93	164.801	2209	7.36333
94	166.843	2277	7.59
95	168.886	2262	7.54
96	170.928	2228	7.42667
97	172.970	2232	7.44
98	175.012	2260	7.53333
99	177.054	2293	7.64333
100	179.096	2221	7.40333
101	181.139	2200	7.33333
102	183.181	2207	7.35667
103	185.223	2295	7.65
104	187.265	2319	7.73
105	189.307	2289	7.63
106	191.349	2276	7.58667
107	193.392	2222	7.40667
108	195.434	2263	7.54333
109	197.476	2234	7.44667
110	199.518	2360	7.86667
111	201.560	2233	7.44333
112	203.602	2309	7.69667
113	205.645	2211	7.37
114	207.687	2291	7.63667
115	209.729	2329	7.76333
116	211.771	2494	8.31333
117	213.813	2485	8.28333
118	215.855	2452	8.17333
119	217.898	2465	8.21667
120	219.940	2578	8.59333
121	221.982	2664	8.88
122	224.024	2834	9.44667
123	226.066	2842	9.47333
124	228.108	2940	9.8
125	230.151	3064	10.2133
126	232.193	3208	10.6933
127	234.235	3112	10.3733
128	236.277	3344	11.1467
129	238.319	3298	10.9933
130	240.361	3380	11.2667
131	242.404	3355	11.1833
132	244.446	3428	11.4267
133	246.488	3334	11.1133
134	248.530	3276	10.92
135	250.572	3225	10.75
136	252.614	3273	10.91
137	254.657	3261	10.87
138	256.699	3234	10.78
139	258.741	3223	10.7433
140	260.783	3160	10.5333
141	262.825	3069	10.23
142	264.867	3080	10.2667
143	266.910	3063	10.21
144	268.952	2954	9.84667
145	270.994	2932	9.77333
146	273.036	2971	9.90333
147	275.078	2851	9.50333
148	277.120	2833	9.44333
149	279.163	2880	9.6
150	281.205	2916	9.72
151	283.247	2780	9.26667
152	285.289	2739	9.13
153	287.331	2697	8.99
154	289.373	2746	9.15333
155	291.416	2692	8.97333
156	293.458	2586	8.62
157	295.500	2616	8.72
158	297.542	2579	8.59667
159	299.584	2571	8.57
160	301.626	2531	8.43667
161	303.669	2573	8.57667
162	305.711	2455	8.18333
163	307.753	2505	8.35
164	309.795	2466	8.22
165	311.837	2541	8.47
166	313.879	2493	8.31
167	315.922	2422	8.07333
168	317.964	2477	8.25667
169	320.006	2403	8.01
170	322.048	2427	8.09
171	324.090	2372	7.90667
172	326.132	2426	8.08667
173	328.175	2379	7.93
174	330.217	2424	8.08
175	332.259	2316	7.72
176	334.301	2294	7.64667
177	336.343	2238	7.46
178	338.385	2224	7.41333
179	340.428	2210	7.36667
180	342.470	2288	7.62667
181	344.512	2306	7.68667
182	346.554	2236	7.45333
183	348.596	2211	7.37
184	350.638	2194	7.31333
185	352.681	2331	7.77
186	354.723	2203	7.34333
187	356.765	2322	7.74
188	358.807	2254	7.51333
189	360.849	2152	7.17333
190	362.891	2151	7.17
191	364.934	2147	7.15667
192	366.976	2191	7.30333
193	369.018	2183	7.27667
194	371.060	2184	7.28
195	373.102	2169	7.23
196	375.144	2155	7.18333
197	377.187	2167	7.22333
198	379.229	2132	7.10667
199	381.271	2145	7.15
200	383.313	2066	6.88667
201	385.355	2169	7.23
202	387.397	2140	7.13333
203	389.440	2065	6.88333
204	391.482	2151	7.17
205	393.524	2081	6.93667
206	395.566	2032	6.77333
207	397.608	2132	7.10667
208	399.650	2046	6.82
209	401.693	2038	6.79333
210	403.735	2011	6.70333
211	405.777	2119	7.06333
212	407.819	2054	6.84667
213	409.861	2040	6.8
214	411.903	2090	6.96667
215	413.946	2041	6.80333
216	415.988	2009	6.69667
217	418.030	2044	6.81333
218	420.072	2066	6.88667
219	422.114	2065	6.88333
220	424.156	2033	6.77667
221	426.199	2056	6.85333
222	428.241	2048	6.82667
223	430.283	2076	6.92
224	432.325	2078	6.92667
225	434.367	2085	6.95
226	436.409	1984	6.61333
227	438.452	2002	6.67333
228	440.494	2073	6.91
229	442.536	2096	6.98667
230	444.578	1990	6.63333
231	446.620	2096	6.98667
232	448.662	1992	6.64
233	450.705	2011	6.70333
234	452.747	2078	6.92667
235	454.789	2077	6.92333
236	456.831	2052	6.84
237	458.873	1990	6.63333
238	460.916	2063	6.87667
239	462.958	2022	6.74
240	465.000	2037	6.79
241	467.042	2069	6.89667
242	469.084	2039	6.79667
243	471.126	2031	6.77
244	473.169	2068	6.89333
245	475.211	2056	6.85333
246	477.253	2006	6.68667
247	479.295	2030	6.76667
248	481.337	2040	6.8
249	483.379	2048	6.82667
250	485.422	2052	6.84
251	487.464	2096	6.98667
252	489.506	2047	6.82333
253	491.548	1962	6.54
254	493.590	1929	6.43
255	495.632	2098	6.99333
256	497.675	1995	6.65
257	499.717	2040	6.8
258	501.759	2103	7.01
259	503.801	2075	6.91667
260	505.843	2051	6.83667
261	507.885	2033	6.77667
262	509.928	2093	6.97667
263	511.970	2073	6.91
264	514.012	2051	6.83667
265	516.054	2093	6.97667
266	518.096	2146	7.15333
267	520.138	2066	6.88667
268	522.181	2102	7.00667
269	524.223	2091	6.97
270	526.265	2095	6.98333
271	528.307	2145	7.15
272	530.349	2091	6.97
273	532.391	2060	6.86667
274	534.434	2104	7.01333
275	536.476	2116	7.05333
276	538.518	2266	7.55333
277	540.560	2092	6.97333
278	542.602	2103	7.01
279	544.644	2132	7.10667
280	546.687	2253	7.51
281	548.729	2159	7.19667
282	550.771	2170	7.23333
283	552.813	2206	7.35333
284	554.855	2117	7.05667
285	556.897	2184	7.28
286	558.940	2171	7.23667
287	560.982	2147	7.15667
288	563.024	2111	7.03667
289	565.066	2077	6.92333
290	567.108	2116	7.05333
291	569.150	2149	7.16333
292	571.193	2017	6.72333
293	573.235	1982	6.60667
294	575.277	1974	6.58
295	577.319	1879	6.26333
296	579.361	1839	6.13
297	581.403	1816	6.05333
298	583.446	1689	5.63
299	585.488	1638	5.46
300	587.530	1596	5.32
301	589.572	1529	5.09667
302	591.614	1376	4.58667
303	593.656	1444	4.81333
304	595.699	1322	4.40667
305	597.741	1197	3.99
306	599.783	1187	3.95667
307	601.825	1178	3.92667
308	603.867	1098	3.66
309	605.909	1042	3.47333
310	607.952	981	3.27
311	609.994	941	3.13667
312	612.036	872	2.90667
313	614.078	831	2.77
314	616.120	832	2.77333
315	618.162	806	2.68667
316	620.205	727	2.42333
317	622.247	715	2.38333
318	624.289	677	2.25667
319	626.331	667	2.22333
320	628.373	674	2.24667
321	630.415	627	2.09
322	632.458	618	2.06
323	634.500	607	2.02333
324	636.542	632	2.10667
325	638.584	509	1.69667
326	640.626	516	1.72
327	642.668	540	1.8
328	644.711	551	1.83667
329	646.753	519	1.73
330	648.795	448	1.49333
331	650.837	489	1.63
332	652.879	468	1.56
333	654.921	415	1.38333
334	656.964	461	1.53667
335	659.006	422	1.40667
336	661.048	402	1.34
337	663.090	422	1.40667
338	665.132	383	1.27667
339	667.174	372	1.24
340	669.217	361	1.20333
341	671.259	352	1.17333
342	673.301	350	1.16667
343	675.343	382	1.27333
344	677.385	342	1.14
345	679.427	337	1.12333
346	681.470	329	1.09667
347	683.512	283	0.943333
348	685.554	293	0.976667
349	687.596	286	0.953333
350	689.638	306	1.02
351	691.680	261	0.87
352	693.723	305	1.01667
353	695.765	274	0.913333
354	697.807	264	0.88
355	699.849	293	0.976667
356	701.891	244	0.813333
357	703.933	270	0.9
358	705.976	267	0.89
359	708.018	228	0.76
360	710.060	235	0.783333
361	712.102	262	0.873333
362	714.144	261	0.87
363	716.186	254	0.846667
364	718.229	269	0.896667
365	720.271	241	0.803333
366	722.313	239	0.796667
367	724.355	212	0.706667
368	726.397	272	0.906667
369	728.439	215	0.716667
370	730.482	220	0.733333
371	732.524	243	0.81
372	734.566	254	0.846667
373	736.608	227	0.756667
374	738.650	272	0.906667
375	740.692	230	0.766667
376	742.735	241	0.803333
377	744.777	236	0.786667
378	746.819	264	0.88
379	748.861	273	0.91
380	750.903	278	0.926667
381	752.945	271	0.903333
382	754.988	249	0.83
383	757.030	296	0.986667
384	759.072	319	1.06333
385	761.114	290	0.966667
386	763.156	293	0.976667
387	765.198	350	1.16667
388	767.241	389	1.29667
389	769.283	398	1.32667
390	771.325	424	1.41333
391	773.367	430	1.43333
392	775.409	535	1.78333
393	777.451	569	1.89667
394	779.494	653	2.17667
395	781.536	762	2.54
396	783.578	887	2.95667
397	785.620	1009	3.36333
398	787.662	1163	3.87667
399	789.704	1387	4.62333
400	791.747	1581	5.27
401	793.789	1739	5.79667
402	795.831	2149	7.16333
403	797.873	2474	8.24667
404	799.915	2868	9.56
405	801.957	3205	10.6833
406	804.000	3752	12.5067
407	806.042	4401	14.67
408	808.084	4820	16.0667
409	810.126	5539	18.4633
410	812.168	6045	20.15
411	814.210	6949	23.1633
412	816.253	7400	24.6667
413	818.295	8136	27.12
414	820.337	8970	29.9
415	822.379	9877	32.9233
416	824.421	10653	35.51
417	826.463	11582	38.6067
418	828.506	12145	40.4833
419	830.548	12938	43.1267
420	832.590	13485	44.95
421	834.632	14291	47.6367
422	836.674	14942	49.8067
423	838.716	15241	50.8033
424	840.759	15498	51.66
425	842.801	15697	52.3233
426	844.843	15696	52.32
427	846.885	16032	53.44
428	848.927	16030	53.4333
429	850.969	15236	50.7867
430	853.012	15178	50.5933
431	855.054	15080	50.2667
432	857.096	14362	47.8733
433	859.138	13711	45.7033
434	861.180	13011	43.37
435	863.222	12218	40.7267
436	865.265	11538	38.46
437	867.307	10739	35.7967
438	869.349	10020	33.4
439	871.391	8987	29.9567
440	873.433	8242	27.4733
441	875.475	7372	24.5733
442	877.518	6482	21.6067
443	879.560	5795	19.3167
444	881.602	5270	17.5667
445	883.644	4566	15.22
446	885.686	3865	12.8833
447	887.728	3257	10.8567
448	889.771	2920	9.73333
449	891.813	2432	8.10667
450	893.855	1974	6.58
451	895.897	1719	5.73
452	897.939	1375	4.58333
453	899.981	1137	3.79
454	902.024	900	3
455	904.066	658	2.19333
456	906.108	573	1.91
457	908.150	417	1.39
458	910.192	340	1.13333
459	912.235	272	0.906667
460	914.277	212	0.706667
461	916.319	144	0.48
462	918.361	123	0.41
463	920.403	83	0.276667
464	922.445	69	0.23
465	924.488	63	0.21
466	926.530	52	0.173333
467	928.572	36	0.12
468	930.614	24	0.08
469	932.656	28	0.0933333
470	934.698	19	0.0633333
471	936.741	19	0.0633333
472	938.783	13	0.0433333
473	940.825	12	0.04
474	942.867	13	0.0433333
475	944.909	9	0.03
476	946.951	10	0.0333333
477	948.994	16	0.0533333
478	951.036	11	0.0366667
479	953.078	14	0.0466667
480	955.120	8	0.0266667
481	957.162	10	0.0333333
482	959.204	13	0.0433333
483	961.247	17	0.0566667
484	963.289	9	0.03
485	965.331	7	0.0233333
486	967.373	14	0.0466667
487	969.415	10	0.0333333
488	971.457	13	0.0433333
489	973.500	5	0.0166667
490	975.542	11	0.0366667
491	977.584	12	0.04
492	979.626	8	0.0266667
493	981.668	12	0.04
494	983.710	17	0.0566667
495	985.753	9	0.03
496	987.795	13	0.0433333
497	989.837	11	0.0366667
498	991.879	10	0.0333333
